date,naver_search,usa_rate,usa_m2,hl_senti_score_mean,cts_senti_score_mean,btc_fgi,btc_predict,bitcoin_close
2018/02/01,21.95121,1.5,13887.77355,-0.01408,0.22142,30,8356.373593,9181.1
2018/02/02,27.64227,1.5,13888.29734,-0.19632,-0.20638,15,8425.719375,8893.2
2018/02/03,22.76422,1.5,13888.82113,-0.019388889,0.081944444,40,8517.18144,9241.1
2018/02/04,23.17073,1.5,13889.34492,0.238414286,0.270728571,24,8616.441767,8222.2
2018/02/05,21.54471,1.5,13893.6,-0.0833,-0.0611,11,8749.841581,6938.5
2018/02/06,19.30894,1.5,13890.3925,-0.11664,0.08979,8,8892.153909,7701.2
2018/02/07,21.13821,1.5,13890.91629,0.057044444,0.150611111,36,9012.84624,7594.7
2018/02/08,27.43902,1.5,13891.44008,-0.11389,0.14667,30,9148.306422,8164.2
2018/02/09,25,1.5,13891.96387,-0.11282,-0.11018,44,9272.720336,8699.8
2018/02/10,31.09756,1.5,13892.48766,-0.091814286,-0.030285714,54,9399.815109,8559.6
2018/02/11,31.70731,1.5,13893.01146,0.159488889,-0.029,31,9515.241337,8081.9
2018/02/12,24.79674,1.5,13887.2,0.09683,0.08437,42,9644.405805,8903.5
2018/02/13,19.10569,1.5,13894.05904,0.27555,0.18069,35,9763.311208,8539.2
2018/02/14,16.86991,1.5,13894.58283,0.06808,0.21914,55,9843.275358,9476.3
2018/02/15,11.38211,1.5,13895.10662,-0.02517,-0.07493,71,9920.675675,10037.3
2018/02/16,19.91869,1.5,13895.63041,-0.12154,-0.01175,67,9972.148219,10178.7
2018/02/17,15.04065,1.5,13896.1542,0.2202,0,74,10012.84067,11073.5
2018/02/18,15.44715,1.5,13896.67799,-0.15775,0.00685,63,10031.04294,10398.8
2018/02/19,15.85365,1.5,13897,-0.11964,0.24796,67,10053.63162,11169.4
2018/02/20,13.00813,1.5,13897.72557,-0.12136,0.19163,74,10059.92231,11238.7
2018/02/21,12.39837,1.5,13898.24936,-0.06163,0.00323,54,10024.79996,10473
2018/02/22,9.14634,1.5,13898.77315,-0.070055556,0.256355556,44,9985.946515,9841.7
2018/02/23,15.2439,1.5,13899.29694,0.04796,0.21676,39,9923.336762,10170.4
2018/02/24,15.04065,1.5,13899.82073,0.092044444,0.477022222,31,9853.987834,9704.3
2018/02/25,21.13821,1.5,13900.34453,-0.02777,0.15783,33,9768.836475,9585.2
2018/02/26,17.68292,1.5,13926.4,-0.00492,0.1689,37,9695.804694,10285.1
2018/02/27,19.30894,1.5,13901.39211,-0.17291,0.22917,44,9616.685278,10594.4
2018/02/28,18.69918,1.5,13901.9159,-0.0495,-0.055155556,41,9508.713819,10333.9
2018/03/01,17.68292,1.5,13902.43969,-0.10872,0.07384,38,9409.319436,10904.5
2018/03/02,19.30894,1.5,13902.96348,-0.07427,0.00483,47,9299.965287,10827.7
2018/03/03,16.26016,1.5,13903.48727,-0.06365,0.03698,56,9197.449008,11402.3
2018/03/04,17.07317,1.5,13904.01106,0.074828571,-0.021514286,44,9093.086142,11416.5
2018/03/05,19.91869,1.5,13947.7,-0.17534,0.03865,55,9013.459926,11330.6
2018/03/06,14.63414,1.5,13905.05864,-0.12479,0.13236,59,8940.404468,10675.1
2018/03/07,13.00813,1.5,13905.58243,-0.11023,0.26356,37,8851.082992,9902.9
2018/03/08,11.99186,1.5,13906.10622,0.00456,0.19886,39,8780.324271,9300
2018/03/09,14.63414,1.5,13906.63001,-0.08815,0.24534,37,8708.867085,9217
2018/03/10,19.91869,1.5,13907.15381,-0.1793,-0.09192,39,8651.265967,8762
2018/03/11,18.69918,1.5,13907.6776,-0.0659,-0.036277778,40,8597.428853,9529.6
2018/03/12,14.22764,1.5,13950.9,-0.10983,0.03659,41,8571.091656,9137.4
2018/03/13,15.6504,1.5,13908.72518,-0.03333,0.00922,41,8552.931416,9154.9
2018/03/14,9.95934,1.5,13909.24897,-0.01979,0.02588,40,8562.766262,8210.6
2018/03/15,10.1626,1.5,13909.77276,-0.07233,0.08096,32,8589.043505,8264.4
2018/03/16,12.39837,1.5,13910.29655,-0.10288,0.15599,33,8611.554073,8289.2
2018/03/17,19.30894,1.5,13910.82034,-0.1664,-0.191244444,31,8642.990622,7874.9
2018/03/18,10.9756,1.5,13911.34413,-0.00349,0.20746,29,8672.21744,8201.2
