date,naver_search,usa_rate.0.25,usa_rate.1.25,usa_rate.1.5,usa_rate.1.75,usa_rate.2,usa_rate.2.25,usa_rate.2.5,usa_m2,gold_close,hl_senti_score_mean,cts_senti_score_mean,btc_diff_open_close,btc_fgi,btc_roc,btc_volume,btc_predict,bitcoin_UD,bitcoin_close
2018/02/01,0.2195121,0,0,1,0,0,0,0,-1.045560736,-1.677040829,-0.01408,0.22142,1.265250852,-0.688706513,-0.11,-0.284419857,-0.405450283,0,9181.1
2018/02/02,0.2764227,0,0,1,0,0,0,0,-1.045320761,-1.250447773,-0.19632,-0.20638,0.35052466,-1.348128778,-0.03,-0.186704039,-0.400522185,0,8893.2
2018/02/03,0.2276422,0,0,1,0,0,0,0,-1.045080786,-1.250447773,-0.019388889,0.081944444,-0.374955738,-0.249091669,0.04,-0.350994069,-0.39402238,1,9241.1
2018/02/04,0.2317073,0,0,1,0,0,0,0,-1.044840811,-1.250447773,0.238414286,0.270728571,1.18987329,-0.952475419,-0.11,-0.331432698,-0.386968386,0,8222.2
2018/02/05,0.2154471,0,0,1,0,0,0,0,-1.042891341,-1.140713946,-0.0833,-0.0611,1.491154428,-1.523974715,-0.16,-0.141493782,-0.377488251,0,6938.5
2018/02/06,0.1930894,0,0,1,0,0,0,0,-1.044360861,-1.472383876,-0.11664,0.08979,-0.850590447,-1.655859168,0.11,0.0363308,-0.367374742,1,7701.2
2018/02/07,0.2113821,0,0,1,0,0,0,0,-1.044120886,-1.24394004,0.057044444,0.150611111,0.135732974,-0.424937607,-0.01,-0.231483375,-0.358797671,0,7594.7
2018/02/08,0.2743902,0,0,1,0,0,0,0,-1.043880911,-1.079227098,-0.11389,0.14667,-0.629727317,-0.688706513,0.08,-0.322231631,-0.349171114,1,8164.2
2018/02/09,0.25,0,0,1,0,0,0,0,-1.043640936,-1.346492921,-0.11282,-0.11018,-0.592038535,-0.073245732,0.07,-0.359958434,-0.340329566,1,8699.8
2018/02/10,0.3109756,0,0,1,0,0,0,0,-1.043400961,-1.346492921,-0.091814286,-0.030285714,0.179951422,0.366369111,-0.02,-0.341999359,-0.331297502,0,8559.6
